PK,DEPENDENCY_ID,SOURCE_DOMAIN_ID,TARGET_DOMAIN_ID,TIER,WEIGHT,ACTIVATION_THRESHOLD,DESCRIPTION
1,DGP.1?DSP.1,DGP.1,DSP.1,4,3,2,Ingestion cannot be governed without capturing consent at the point of entry.
2,DGP.3?DSP.1,DGP.3,DSP.1,4,3,2,No progression to Tier 3 without standardized ingestion policies.
3,DSP.5?DSP.1,DSP.5,DSP.1,4,3,2,"End-to-end traceability is mandatory for compliance, rollback, and audit."
4,DGP.6?DSP.1,DGP.6,DSP.1,2,1,2,Supports ownership of ingestion governance.
5,DSP.8?DSP.1,DSP.8,DSP.1,2,1,2,Strengthens confidence in ingestion quality.
6,DSP.4?DSP.1,DSP.4,DSP.1,1,0,2,Ensures observability of ingestion DAGs and APIs
7,DGP.3?DSP.2,DGP.3,DSP.2,4,3,1,"Without defined quality standards, no automated validation can be enforced."
8,DGP.6?DSP.2,DGP.6,DSP.2,3,2,1,No progression without someone owning quality metrics.
9,DSP.6?DSP.2,DSP.6,DSP.2,3,2,1,Needed for consistency in validation rules.
10,DSP.3?DSP.2,DSP.3,DSP.2,3,2,1,Supports traceable validation pathways.
11,DSP.8?DSP.2,DSP.8,DSP.2,2,1,1,Drives continuous data quality culture.
12,DGP.3?DSP.3,DGP.3,DSP.3,4,3,2,Lineage blocked without standardization policies
13,DGP.6?DSP.3,DGP.6,DSP.3,4,3,2,No ownership or accountability for lineage management
14,DGP.1?DSP.3,DGP.1,DSP.3,4,3,2,Lineage incomplete without consent/privacy integration
15,DSP.6?DSP.3,DSP.6,DSP.3,3,2,2,Business glossary required for consistent lineage definitions
16,DSP.2?DSP.3,DSP.2,DSP.3,3,2,2,Data quality validation supports meaningful lineage
17,DSP.4?DSP.3,DSP.4,DSP.3,2,1,2,Platform observability strengthens but doesn’t block lineage maturity
18,DGP.5?DSP.3,DGP.5,DSP.3,2,1,2,Incident response traceability complements lineage
19,DGP.3?DSP.4,DGP.3,DSP.4,4,3,2,No progression to Tier 3 without standardized platform governance policies.
20,DGP.7?DSP.4,DGP.7,DSP.4,4,3,2,No observability maturity without formal change management and version control.
21,DGP.6?DSP.4,DGP.6,DSP.4,4,3,2,Observability requires clear accountability for monitoring and platform health.
22,ASP.6?DSP.4,ASP.6,DSP.4,4,3,2,"ML infrastructure and tooling must be in place to achieve reliable, standardized platform observability."
23,DGP.5?DSP.4,DGP.5,DSP.4,3,2,2,Incident response and control remediation enhance platform reliability but are not strict blockers.
24,DSP.2?DSP.4,DSP.2,DSP.4,2,1,2,Data quality monitoring complements observability but is not required for maturity.
25,DSP.7?DSP.4,DSP.7,DSP.4,2,1,2,Reporting of observability metrics strengthens platform governance but is not a blocker.
26,DGP.3?DSP.5,DGP.3,DSP.5,4,3,2,Standardized policies are required to formalize and enforce master data management.
27,DGP.6?DSP.5,DGP.6,DSP.5,4,3,2,Clear ownership and accountability are mandatory to govern master/reference data.
28,DSP.6?DSP.5,DSP.6,DSP.5,4,3,2,Business glossary and concept definitions are essential to align taxonomies.
29,DSP.8?DSP.5,DSP.8,DSP.5,2,1,2,Stewardship culture embeds taxonomy management but is not required to reach Tier 3.
30,DGP.3?DSP.6,DGP.3,DSP.6,4,3,1,"Without standardized governance policy, there is no authority to formalize or enforce business glossary management."
31,DGP.6?DSP.6,DGP.6,DSP.6,4,3,1,Role clarity and accountability are essential to assign ownership for glossary maintenance and dispute resolution.
32,DSP.8?DSP.6,DSP.8,DSP.6,2,1,1,Stewardship and adoption strengthen glossary practices but are not required to reach Tier 2 maturity.
33,DSP.6?DSP.7,DSP.6,DSP.7,4,3,2,"Without shared concept definitions, analytics logic lacks clarity and trust."
34,DGP.3?DSP.7,DGP.3,DSP.7,4,3,2,Standardized intake processes and KPI logic are essential to avoid fragmented analytics.
35,DGP.6?DSP.7,DGP.6,DSP.7,4,3,2,Clear accountability needed for platform ownership and reporting governance.
36,DSP.3?DSP.7,DSP.3,DSP.7,3,2,2,Lineage enables confidence by linking dashboards to source data.
37,DGP.7?DSP.7,DGP.7,DSP.7,3,2,2,Change governance ensures updates are versioned and stakeholder-driven.
38,DGP.4?DSP.7,DGP.4,DSP.7,2,1,2,"Compliance audits benefit from traceable, governed dashboards."
39,DSP.4?DSP.7,DSP.4,DSP.7,2,1,2,Observability strengthens uptime and error monitoring of analytics platforms.
40,DSP.8?DSP.7,DSP.8,DSP.7,2,1,2,Stewardship drives adoption and sustained platform usage.
41,DGP.6?DSP.8,DGP.6,DSP.8,4,3,2,Stewardship cannot exist without clearly defined roles and escalation paths.
42,DGP.3?DSP.8,DGP.3,DSP.8,4,3,2,Policies are needed to institutionalize stewardship practices and embed them into workflows.
43,DSP.6?DSP.8,DSP.6,DSP.8,3,2,2,Stewards require aligned terminology to maintain consistent data practices across teams.
44,DGP.7?DSP.8,DGP.7,DSP.8,3,2,2,Version control ensures that stewardship responsibilities persist across system or definition changes.
45,DSP.7?DSP.8,DSP.7,DSP.8,2,1,2,Analytics adoption helps reinforce stewarded data but is not required for stewardship itself.
46,DSP.1?DGP.1,DSP.1,DGP.1,4,3,1,Consent cannot be captured or tagged without mature data ingestion pipelines.
47,DSP.5?DGP.1,DSP.5,DGP.1,4,3,1,Consent purposes must be mapped to reference data to enable standardized interpretation.
48,DGP.3?DGP.1,DGP.3,DGP.1,4,3,1,"Without standardized policies, consent logic cannot be enforced or audited."
49,DGP.2?DGP.1,DGP.2,DGP.1,3,2,1,Access controls can enforce consent boundaries only if tagging and purpose models already exist.
50,DGP.6?DGP.1,DGP.6,DGP.1,3,2,1,Consent enforcement depends on clear accountability across data lifecycle.
51,DGP.7?DGP.1,DGP.7,DGP.1,3,2,1,Versioning enables consent logic to evolve alongside legal or organizational changes.
52,DSP.6?DGP.1,DSP.6,DGP.1,2,1,1,Shared business definitions improve clarity of what consent governs.
53,DSP.4?DGP.1,DSP.4,DGP.1,2,1,1,Observability supports detection of consent violations or misalignments.
54,DGP.3?DGP.2,DGP.3,DGP.2,4,3,2,Access provisioning and security baselines require standardized policy scaffolding to be formalized and enforced.
55,DGP.6?DGP.2,DGP.6,DGP.2,4,3,2,Governance maturity depends on defined ownership for permission lifecycle and platform-level security enforcement.
56,DSP.4?DGP.2,DSP.4,DGP.2,3,2,2,"Observability supports logging and real-time detection of access or security violations, strengthening enforcement."
57,DGP.7?DGP.2,DGP.7,DGP.2,3,2,2,"Versioning enables traceability of permission and configuration changes, supporting auditability and rollback."
58,DGP.5?DGP.2,DGP.5,DGP.2,3,2,2,Structured remediation workflows enable consistent response to access breaches or security threats.
59,DGP.6?DGP.3,DGP.6,DGP.3,4,3,2,Policies without owners remain unused; ownership is a precondition for governance enforcement.
60,DGP.7?DGP.3,DGP.7,DGP.3,4,3,2,Version control and change tracking are required to maintain evolving policy frameworks.
61,DSP.1?DGP.3,DSP.1,DGP.3,3,2,1,"Ingestion typically adopts policy earliest (e.g., consent SOPs), driving early maturation pressure."
62,ASP.1?DGP.3,ASP.1,DGP.3,3,2,1,AI strategy demands documented approval policies and operational thresholds from early maturity stages.
63,DSP.6?DGP.3,DSP.6,DGP.3,2,1,1,Shared business terms enable consistent and interpretable policy documentation.
64,DGP.3?DGP.4,DGP.3,DGP.4,4,3,1,No audit scaffolds can exist without policy-defined thresholds and compliance criteria.
65,DGP.2?DGP.4,DGP.2,DGP.4,4,3,1,Audits require identity-linked access logs; access control must be mature for traceability.
66,DGP.1?DGP.4,DGP.1,DGP.4,4,3,1,Consent enforcement must be traceable to satisfy privacy audit requirements.
67,DSP.3?DGP.4,DSP.3,DGP.4,4,3,1,"Without lineage, audit logs show snapshots, not traceable transformations."
68,ASP.2?DGP.4,ASP.2,DGP.4,3,2,1,"Model versioning supports domain-specific auditability, especially in scoring."
